"county","county_ascii","county_full","state_name","population","age_median","income_household_median","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","highschool_or_less","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","unemployment_rate","poverty","health_uninsured"
"Walton","Walton","Walton County","Florida",68262,44,58093,28513,74.6,216148,979,30.8,10.9,28.5,39.39999961853027,32.1,19.1,9.4,28.5,39.8,4.8,13.2,12.9
"Belmont","Belmont","Belmont County","Ohio",68024,44.6,50904,25252,76.4,100754,629,26.4,9.8,42.4,52.20000171661377,31.1,10.8,5.9,16.7,38.5,5.3,12.3,5.5
"York","York","York County","Virginia",67982,39.6,92069,42896,71.3,326943,1480,27.6,5.3,18.9,24.199999809265137,28.7,25.3,21.7,47,48.2,5.6,4.9,4.3
"Harrison","Harrison","Harrison County","West Virginia",67908,42.2,53022,27547,73.9,119961,767,30.1,11.2,38.6,49.79999828338623,26.9,14.3,8.9,23.2,36.7,5.9,15.3,5.8
"Broomfield","Broomfield","Broomfield County","Colorado",67886,37.8,96416,47013,65.2,414209,1679,29.6,3.1,14.5,17.59999990463257,26.7,34.5,21.3,55.8,52.3,3.2,5.6,4.3
"Jackson","Jackson","Jackson County","Georgia",67885,38.1,65385,30862,77.9,186537,823,26.5,15.9,32.1,47.99999809265137,29.2,14.8,7.9,22.7,42.1,4.1,11.3,11.8
"Aroostook","Aroostook","Aroostook County","Maine",67809,48,41123,22893,72,99815,574,33.1,11.4,37.3,48.69999885559082,32,13.1,6.1,19.2,40.7,5,16.1,8.4
"Lewis and Clark","Lewis and Clark","Lewis and Clark County","Montana",67805,40.8,65791,33992,69.4,241865,833,27.2,4.4,23.6,28.000000476837158,32,25,15.1,40.1,48.2,3.1,10.4,5.7
"Tooele","Tooele","Tooele County","Utah",67397,31.4,74562,35164,80.9,219651,966,29,8.7,29.3,37.999999046325684,37.7,17,7.3,24.3,41.4,4.8,6.2,7.2
"Williamson","Williamson","Williamson County","Illinois",67102,41.2,50734,27489,70.1,113145,735,28.9,7.7,31.1,38.80000019073486,36.9,14.6,9.7,24.3,39.5,5.7,13.9,5.3
"Darlington","Darlington","Darlington County","South Carolina",67027,41.4,38448,22175,69.6,95213,675,35.3,17.6,35.1,52.69999885559082,28.8,12,6.4,18.4,39.2,9,20,10.3
"San Patricio","San Patricio","San Patricio County","Texas",67008,35.5,56556,26180,68.3,116523,975,31.7,20.1,32.7,52.80000114440918,31.6,11.2,4.4,15.6,40.1,5.1,15.9,16.8
"Klamath","Klamath","Klamath County","Oregon",66921,42.2,46491,24668,64.3,170905,772,30.2,11.9,31,42.89999961853027,37.1,12.6,7.4,20,48,8.1,19.5,8.5
"Laurens","Laurens","Laurens County","South Carolina",66846,40.7,43304,21883,69.8,99568,734,29.7,19.1,33.8,52.89999961853027,30.9,10.8,5.4,16.2,32.3,7.5,20.3,11.7
"Blue Earth","Blue Earth","Blue Earth County","Minnesota",66795,31,57429,27486,62,184777,883,29.6,5.5,26.5,32,33.2,22.8,12,34.8,40.3,3.8,17.6,3.8
"Catoosa","Catoosa","Catoosa County","Georgia",66700,40.4,56235,27313,74,143367,775,28.7,12.5,32.9,45.400001525878906,33.2,14.8,6.6,21.4,33.3,4.2,9.9,11.5
"Butler","Butler","Butler County","Kansas",66698,38.6,64782,32402,74.5,145950,855,28.3,7.5,25.9,33.39999961853027,36.9,19.4,10.4,29.8,39.1,3.8,9.5,8.1
"Marquette","Marquette","Marquette County","Michigan",66686,39.1,53970,26510,70.8,152262,738,31.2,5,30.9,35.89999961853027,31.1,22.8,10.2,33,41.6,5.7,15.6,4.1
"St. Francois","St. Francois","St. Francois County","Missouri",66643,39.4,46466,23815,68.5,118863,690,27.5,15.2,37.2,52.40000057220459,33.3,8.2,6,14.2,40.1,5,15.5,9
"Rutherford","Rutherford","Rutherford County","North Carolina",66599,45,42608,23142,71.5,116922,636,28.7,16.2,32.5,48.70000076293945,33.5,12.2,5.7,17.9,39.9,7.2,17.9,11.5
"Harrison","Harrison","Harrison County","Texas",66580,38.7,52220,26572,72.3,125421,786,28.5,14.7,34,48.69999980926514,32.2,13.6,5.4,19,41.8,5.4,17.4,14.9
"Grant","Grant","Grant County","Indiana",66452,40.3,44356,23127,68.4,92834,700,30.7,12.8,40.5,53.30000019073486,28.9,10.3,7.6,17.9,34.9,7.2,18,8.6
"Jefferson","Jefferson","Jefferson County","Ohio",66371,44.8,46581,25577,69,93142,675,33.3,9,44.8,53.79999923706055,30.4,10.1,5.8,15.9,37,6,17.5,5.6
"Franklin","Franklin","Franklin County","North Carolina",66362,41.4,55193,29127,73.8,149092,829,27.3,13.8,29.8,43.59999942779541,34.4,15.5,6.5,22,42.1,5.8,13.2,9.9
"Wayne","Wayne","Wayne County","Indiana",66342,40.6,46516,25292,66.9,100985,688,27.7,13.5,37.3,50.79999923706055,30.9,10.5,7.7,18.2,36.7,5.2,16.4,11.9
"Wise","Wise","Wise County","Texas",66290,38.3,64536,29858,77.9,165254,966,28.2,14.7,34.8,49.499999046325684,32.5,13.6,4.4,18,36.8,4.4,10.7,17.9
